country,value
Albania,29.0
Algeria,27.6
Angola,42.7
Argentina,42.4
Armenia,32.5
Australia,34.7
Austria,30.5
Azerbaijan,16.6
Bangladesh,32.4
Belarus,27.0
Belgium,27.7
Belize,53.3
Benin,47.8
Bhutan,37.4
Bolivia,44.6
Bosnia and Herzegovina,32.7
Botswana,60.5
Brazil,51.3
Bulgaria,37.4
Burkina Faso,35.3
Burundi,38.6
Cabo Verde,47.2
Cameroon,46.6
Canada,34.0
Central African Republic,56.2
Chad,43.3
Chile,47.7
China,42.2
Colombia,50.8
Comoros,45.3
Congo  Dem. Rep.,42.1
Congo  Rep.,48.9
Costa Rica,48.7
Cote d'Ivoire,41.5
Croatia,31.1
Cyprus,34.0
Czech Republic,25.9
Denmark,28.2
Djibouti,44.1
Dominican Republic,45.3
Ecuador,45.0
Egypt  Arab Rep.,31.8
El Salvador,40.0
Estonia,32.7
Eswatini,51.5
Ethiopia,39.1
Fiji,36.7
Finland,27.1
France,32.7
Gabon,38.0
Gambia  The,35.9
Georgia,36.5
Germany,31.7
Ghana,42.4
Greece,36.0
Guatemala,48.3
Guinea,33.7
Guinea-Bissau,50.7
Guyana,44.6
Haiti,41.1
Honduras,50.0
Hungary,30.4
Iceland,27.8
India,35.1
Indonesia,39.5
Iran  Islamic Rep.,38.8
Iraq,29.5
Ireland,31.8
Israel,41.4
Italy,35.4
Jamaica,45.5
Japan,32.1
Jordan,33.7
Kazakhstan,26.9
Kenya,40.8
Kiribati,37.0
Korea  Rep.,31.6
Kosovo,26.5
Kyrgyz Republic,26.8
Lao PDR,36.4
Latvia,34.2
Lebanon,31.8
Lesotho,54.2
Liberia,33.2
Lithuania,37.4
Luxembourg,33.8
Macedonia  FYR,35.6
Madagascar,42.6
Malawi,45.5
Malaysia,41.0
Maldives,38.4
Mali,33.0
Malta,29.4
Mauritania,32.6
Mauritius,35.8
Mexico,43.4
Micronesia  Fed. Sts.,40.1
Moldova,26.3
Mongolia,32.3
Montenegro,31.9
Morocco,39.5
Mozambique,54.0
Myanmar,38.1
Namibia,59.1
Nepal,32.8
Netherlands,28.2
Nicaragua,46.2
Niger,34.3
Nigeria,43.0
Norway,27.5
Pakistan,33.5
Panama,50.4
Papua New Guinea,41.9
Paraguay,47.9
Peru,43.8
Portugal,35.5
Romania,35.9
Russian Federation,37.7
Rwanda,45.1
Samoa,42.0
Sao Tome and Principe,30.8
Senegal,40.3
Seychelles,46.8
Sierra Leone,34.0
Slovak Republic,26.5
Slovenia,25.4
Solomon Islands,37.1
South Africa,63.0
South Sudan,46.3
Spain,36.2
Sri Lanka,39.8
St. Lucia,42.6
Sudan,35.4
Suriname,57.6
Sweden,29.2
Switzerland,32.3
Syrian Arab Republic,35.8
Tajikistan,34.0
Tanzania,37.8
Thailand,36.0
Timor-Leste,28.7
Togo,43.1
Tonga,37.5
Trinidad and Tobago,40.3
Tunisia,35.8
Turkey,41.9
Turkmenistan,40.8
Tuvalu,39.1
Uganda,42.8
Ukraine,25.0
United Kingdom,33.2
United States,41.5
Uruguay,39.7
Uzbekistan,35.3
Vanuatu,37.6
Venezuela  RB,46.9
Vietnam,35.3
West Bank and Gaza,33.7
Yemen  Rep.,36.7
Zambia,57.1
Zimbabwe,43.2
