name,average
Mali,50.400001525878906
Peru,55.36666615804037
Chile,55.76000061035156
Ghana,39.25
Kenya,48.53333282470703
Nepal,35.20000076293945
Niger,38.79999923706055
Belize,57.733333587646484
Brazil,58.96249961853027
Canada,31.77500009536743
Guinea,46.44999885559082
Guyana,44.599998474121094
Israel,36.79999923706055
Jordan,39.900001525878906
Latvia,29.866666793823242
Malawi,65.80000305175781
Mexico,49.19999980926514
Panama,57.64000015258789
Turkey,41.29999923706055
Uganda,41.13333384195963
Zambia,52.624999046325684
Albania,27.0
Algeria,35.29999923706055
Armenia,36.20000076293945
Belarus,31.850000381469727
Bolivia,52.766666412353516
Burundi,37.79999923706055
Ecuador,53.90000025431315
Estonia,39.5
Georgia,39.79999923706055
Germany,29.200000762939453
Hungary,27.899999618530273
Jamaica,40.32499980926514
Lao PDR,34.60000038146973
Lesotho,63.20000076293945
Moldova,39.666666666666664
Morocco,39.35000038146973
Nigeria,48.45000076293945
Romania,26.850000381469727
Senegal,47.75
Tunisia,40.95000076293945
Ukraine,33.27500009536743
Vietnam,35.55000114440918
Botswana,60.79999923706055
Bulgaria,30.700000762939453
Cameroon,44.400001525878906
Colombia,55.70000076293945
Eswatini,60.5
Ethiopia,37.29999923706055
Honduras,54.63000068664551
Malaysia,48.43333307902018
Mongolia,31.75
Pakistan,31.666666666666668
Paraguay,52.125
Slovenia,29.200000762939453
Suriname,57.599998474121094
Tanzania,35.29999923706055
Thailand,44.03333346048991
Argentina,47.90000025431315
Australia,32.599998474121094
Lithuania,33.599998474121094
Nicaragua,55.900001525878906
Sri Lanka,33.900001525878906
St. Lucia,42.599998474121094
Azerbaijan,34.70000076293945
Bangladesh,30.250000953674316
Costa Rica,46.15999984741211
Kazakhstan,35.400001525878906
Madagascar,41.13333257039388
Mauritania,43.89999961853027
Mozambique,53.599998474121094
Tajikistan,29.5
Uzbekistan,44.70000076293945
El Salvador,52.32000045776367
Burkina Faso,49.0
South Africa,60.0
Turkmenistan,40.79999923706055
"Gambia, The",48.5
"Yemen, Rep.",35.0
Cote d'Ivoire,39.666666666666664
Guinea-Bissau,43.599998474121094
United States,39.733333587646484
Czech Republic,26.199999809265137
"Venezuela, RB",47.09999942779541
Kyrgyz Republic,46.400001525878906
Slovak Republic,25.799999237060547
Papua New Guinea,55.400001525878906
"Egypt, Arab Rep.",31.633333206176758
Dominican Republic,49.23333485921224
Russian Federation,41.68000030517578
Trinidad and Tobago,40.29999923706055
"Iran, Islamic Rep.",43.56666564941406
Central African Republic,61.29999923706055
