group,$1
Chad,2
Fiji,3
Iraq,2
Mali,4
Peru,20
Togo,3
Benin,3
Chile,13
China,2
Gabon,2
Ghana,6
Haiti,1
India,1
Italy,13
Japan,1
Kenya,5
Malta,10
Nepal,3
Niger,6
Samoa,1
Spain,13
Sudan,1
Tonga,2
Angola,2
Belize,6
Bhutan,4
Brazil,31
Canada,11
Cyprus,12
France,13
Greece,13
Guinea,5
Guyana,1
Israel,9
Jordan,7
Kosovo,11
Latvia,15
Malawi,3
Mexico,15
Norway,13
Panama,24
Rwanda,5
Sweden,13
Turkey,17
Tuvalu,1
Uganda,9
Zambia,9
Albania,5
Algeria,3
Armenia,17
Austria,13
Belarus,19
Belgium,13
Bolivia,18
Burundi,4
Comoros,2
Croatia,8
Denmark,13
Ecuador,19
Estonia,14
Finland,13
Georgia,21
Germany,11
Hungary,15
Iceland,12
Ireland,13
Jamaica,7
Lao PDR,5
Lebanon,1
Lesotho,4
Liberia,2
Moldova,20
Morocco,6
Myanmar,1
Namibia,3
Nigeria,5
Romania,13
Senegal,5
Tunisia,6
Ukraine,19
Uruguay,13
Vanuatu,1
Vietnam,10
Botswana,4
Bulgaria,10
Cameroon,4
Colombia,18
Djibouti,3
Eswatini,3
Ethiopia,5
Honduras,27
Kiribati,1
Malaysia,12
Maldives,2
Mongolia,9
Pakistan,12
Paraguay,20
Portugal,13
Slovenia,13
Suriname,1
Tanzania,4
Thailand,21
Zimbabwe,1
Argentina,28
Australia,8
Guatemala,5
Indonesia,1
Lithuania,13
Mauritius,2
Nicaragua,6
Sri Lanka,8
St. Lucia,1
Azerbaijan,6
Bangladesh,9
Cabo Verde,2
Costa Rica,30
Kazakhstan,16
Luxembourg,13
Madagascar,8
Mauritania,7
Montenegro,10
Mozambique,4
Seychelles,1
Tajikistan,6
Uzbekistan,4
El Salvador,22
Netherlands,12
South Sudan,1
Switzerland,10
Timor-Leste,3
Burkina Faso,5
Sierra Leone,2
South Africa,7
Turkmenistan,1
"Congo, Rep.",2
"Gambia, The",4
"Korea, Rep.",4
"Yemen, Rep.",3
Cote d'Ivoire,10
Guinea-Bissau,3
United States,11
Czech Republic,14
United Kingdom,12
"Venezuela, RB",13
Kyrgyz Republic,18
Slovak Republic,13
Solomon Islands,2
"Macedonia, FYR",6
Papua New Guinea,2
"Congo, Dem. Rep.",2
"Egypt, Arab Rep.",8
Dominican Republic,22
Russian Federation,21
West Bank and Gaza,8
Trinidad and Tobago,2
"Iran, Islamic Rep.",9
Syrian Arab Republic,1
Sao Tome and Principe,2
Bosnia and Herzegovina,5
"Micronesia, Fed. Sts.",2
Central African Republic,3
